Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:38:58;0;Salvador;1;----;Garrafa de agua;----;----;75.06;-60.00;-100.00;-100.00;3;1;7;11;133;211.44
18-10-2017 17:38:59;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-72.09;-100.00;-80.00;3;1;8;12;133;210.37
18-10-2017 17:39:13;0;Salvador;1;17;Agriao, cru;0;----;64.17;-90.00;-100.00;-100.00;4;1;8;13;143;196.81
18-10-2017 17:39:15;0;Salvador;1;----;Garrafa de agua;----;----;51.03;-53.14;-100.00;-100.00;4;1;8;13;143;195.00
18-10-2017 17:39:21;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-79.39;-100.00;-80.00;4;1;9;14;143;189.06
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
19-10-2017 16:57:34;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-18.59;-18.59;11.41;0;0;1;1;100;295.83
19-10-2017 16:57:37;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-38.79;-38.79;21.21;0;0;2;2;100;292.17
19-10-2017 16:57:39;0;Salvador;1;20;Alho, cru;0;----;94.77;-34.02;-54.02;5.98;1;0;2;3;110;290.44
19-10-2017 16:57:41;0;Salvador;1;25;Batata, inglesa, cozida;1;----;100.00;-51.53;-71.53;8.47;1;1;2;4;113;287.86
19-10-2017 16:57:44;0;Salvador;1;16;Acelga, crua;0;----;92.58;-48.95;-88.95;-8.95;2;1;2;5;123;285.32
19-10-2017 16:57:44;0;Salvador;1;----;Garrafa de agua;----;----;82.36;-9.17;-100.00;-29.17;2;1;2;5;123;284.95
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
